Sample	root	Viruses	unclassified Viruses	Duplodnaviria	Monodnaviria	Riboviria	Varidnaviria	Anelloviridae	Herpesviridae	Papillomaviridae	Parvoviridae	Smacoviridae	Circoviridae	Genomoviridae	Polyomaviridae	Adenoviridae	Poxviridae	Hepadnaviridae	Asfarviridae	Retroviridae
iL2179B_16	7809	21	2	3	13	0	2	0	1	2	4	0	0	7	0	0	2	0	0	0
iL2180B_16	109819	31	2	2	26	1	0	0	0	0	19	0	0	5	2	0	0	0	0	0
iL2181B_16	61329	7	0	1	6	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0
iL2182B_16	70427	22	0	7	11	0	1	0	0	0	4	0	0	5	2	0	0	0	0	0
L1629_2	6644	11	0	4	7	0	0	0	0	0	2	0	0	0	5	0	0	0	0	0
L1635_1	39528	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L1636_1	51435	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L1637_1	22052	4	1	0	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0
L1639_2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L1641_2	24576	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L1646_1	18709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L1648_1	14608	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L1649_2	76254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L1650_1	27956	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L1651_2	31226	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L1652_1	59472	8	0	6	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
L1653_2	28108	18	0	7	1	10	0	0	0	0	1	0	0	0	0	0	0	9	0	0
L1656_1	35557	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L1703_2	68454	8	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L1706_2	288782	30	0	1	1	1	26	0	0	0	0	0	0	1	0	0	26	0	0	0
L1737_1	26452	6	1	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
L1739_1	30642	7	0	5	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
L1743_2	30930	3	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0
L1914cap	50078	19	1	11	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
L3056amp5_3	227702	115	6	60	2	1	46	0	0	2	0	0	0	0	0	0	46	0	0	0
L3057_3	271529	13	0	3	0	0	8	0	0	0	0	0	0	0	0	0	8	0	0	0
L3058_3	129664	54	3	31	0	0	20	0	5	0	0	0	0	0	0	0	20	0	0	0
L3059_3	1452674	86	12	37	12	1	16	0	4	0	4	0	0	5	0	0	16	0	0	1
L3060A2dil3_3	329414	121	3	72	1	0	40	0	2	0	0	0	0	0	0	0	40	0	0	0
L3061_3	716322	285	5	133	12	1	134	0	25	0	0	0	0	10	2	0	134	0	0	0
L3062_3	342361	189	3	71	7	3	103	0	7	2	1	0	0	1	3	2	99	0	0	0
L3063_3	205848	81	0	69	0	0	12	0	0	0	0	0	0	0	0	0	12	0	0	0
L3064_4	970495	6930	3	98	3	6705	117	0	2	0	0	0	0	0	3	1	116	6703	0	0
L3066_4	952751	980	22	728	13	14	184	1	9	0	7	0	0	0	6	5	167	0	0	1
L3067_4	171010	7	1	4	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0
L3068amp5_4	464736	15	2	7	1	3	0	0	2	0	0	0	0	1	0	0	0	0	0	2
L3069_4	67454	41	0	4	0	0	37	0	0	0	0	0	0	0	0	0	37	0	0	0
L3070_4	380502	126	8	77	0	2	38	0	1	0	0	0	0	0	0	0	36	0	0	0
L3071_4	600148	81	6	34	0	0	33	0	0	0	0	0	0	0	0	0	33	0	0	0
L3072_4	494687	65	9	25	0	1	24	0	2	0	0	0	0	0	0	0	24	0	0	0
L3073_5	745052	298	0	217	2	2	76	0	0	0	0	0	0	1	1	0	75	0	0	0
L3075_5	498483	7	2	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0
L3076_5	1087500	301	4	109	3	4	161	0	1	0	0	0	0	0	3	0	158	0	0	2
L3077amp5_5	876397	1088	2	1024	13	1	44	0	1	11	0	0	0	2	0	0	41	0	0	0
L3078_5	719812	636	3	585	12	3	31	0	1	0	10	0	0	1	1	1	28	0	0	1
L3079A2dil5_5	1824890	138	22	62	3	12	22	4	8	0	0	0	0	1	1	1	18	0	0	3
L3081_5	850522	833	1	803	1	2	25	0	0	1	0	0	0	0	0	0	23	0	0	0
L3082_5	1130178	175	8	39	10	4	108	0	2	2	5	0	0	1	2	0	108	0	0	1
L3083_6	284728	184	2	138	9	0	31	0	0	0	0	0	0	0	0	0	29	0	0	0
L3084_6	204336	248	7	10	2	1	228	0	2	0	0	0	0	0	2	0	228	0	0	1
L3087amp5_6	286508	18	0	6	0	0	10	0	3	0	0	0	0	0	0	4	6	0	0	0
L3090_6	103342	20	0	4	0	0	15	0	0	0	0	0	0	0	0	0	15	0	0	0
L3091amp5_6	493510	94	6	17	6	13	49	0	3	0	0	0	0	1	5	0	47	9	0	1
L3092_6	83714	145	2	54	24	0	65	0	0	0	24	0	0	0	0	19	44	0	0	0
L3093_6	730637	548	8	52	370	2	110	1	0	1	365	0	0	0	4	1	107	0	0	0
L3094_6	93790	323	1	3	15	2	302	0	1	0	0	0	0	2	13	3	299	0	0	0
L3095_6	211025	286	0	56	7	1	222	0	2	0	0	0	0	2	5	2	220	0	0	0
L3104A2dil3_7	191058	102	6	34	0	2	60	0	1	0	0	0	0	0	0	1	59	0	0	0
L3107_7	395287	25	2	6	5	1	6	5	0	0	0	0	0	5	0	0	6	0	0	1
L3108_7	539277	138	2	62	4	1	64	3	6	0	0	0	0	0	4	0	63	0	0	0
L3109amp5_7	214428	412	3	381	1	0	26	0	0	1	0	0	0	0	0	0	25	0	0	0
L3111_7	85142	4	0	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
L3118_7	146489	53	0	14	0	0	37	0	2	0	0	0	0	0	0	0	37	0	0	0
L3120_7	300164	149	11	68	3	7	51	0	1	0	0	0	0	3	0	1	48	0	0	0
L3121_7	332350	513	2	484	0	0	25	0	0	0	0	0	0	0	0	0	25	0	0	0
L3123_7	150223	459	4	12	5	375	58	0	5	0	2	0	0	0	3	3	55	375	0	0
L3124_8	5923	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
L3125_8	538263	86	6	52	1	1	20	3	3	1	0	0	0	0	0	0	17	0	1	0
L3126_8	283824	71	13	37	3	0	8	2	3	0	3	0	0	0	0	1	6	0	0	0
L3127_8	1120408	124	17	38	5	1	53	2	9	2	0	0	0	2	1	1	51	0	0	1
L3129_8	217254	68	7	25	1	1	16	0	0	0	0	0	1	0	0	0	16	0	0	0
L3138A2dil3_8	144751	154	14	56	4	1	70	0	2	3	0	0	0	0	1	3	67	0	0	0
L3140amp5_8	49343	52	0	19	2	0	31	0	1	0	0	0	0	1	1	0	31	0	0	0
L3142_8	1462639	56	6	27	0	4	13	0	5	0	0	0	0	0	0	0	13	0	0	0
L3145A2dil2_8	2094277	148	11	55	6	3	67	0	3	0	2	0	0	2	2	1	65	0	0	0
iL1873B	224977	6	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
iL1874Bamp10	568376	92	8	49	31	1	2	0	2	3	24	0	0	1	3	0	1	0	0	0
iL1875B	393796	38	10	12	5	6	5	0	0	2	3	0	0	0	0	0	0	0	0	0
iL1876B	20374	60	29	9	2	1	3	0	0	0	2	0	0	0	0	0	0	0	0	0
iL1877B-amp10	208453	65	3	29	24	0	6	0	0	1	19	0	0	0	4	3	1	0	0	0
iL1878B	173487	21	0	15	5	0	0	0	1	0	3	0	0	1	1	0	0	0	0	0
iL1879B	387754	10	1	3	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0
iL1880Bamp10	36883	8	0	5	2	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0
iL1881B	91015	23	2	9	6	0	2	0	0	0	5	0	0	0	1	0	2	0	0	0
iL1946B	195589	9420	2	4	8	0	9406	0	0	1	5	0	0	2	0	0	9406	0	0	0
iL1947B	171838	5599	1	11	12	1	5573	0	1	0	2	0	0	10	0	0	5573	0	0	0
iL1948Bamp10	8743	84	0	1	0	0	83	0	0	0	0	0	0	0	0	0	83	0	0	0
iL1949B	11679	3737	0	2	0	0	3734	0	0	0	0	0	0	0	0	0	3734	0	0	0
iL1950Bdil2	117901	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iL1951B	58313	36	0	18	16	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0
iL1952B	14356	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
iL1953Bamp10	32748	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iL2036Bdil2	177195	15	1	11	2	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0
iL2037Bdil2	29267	5	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
iL2038Bdil2	14805	6	1	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
iL2039Bdil2	4450	20	2	9	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0
iL2040Bdil2	218190	11	2	7	2	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
iL2041Bdil2	77664	10	1	1	8	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
iL2127rB	1673560	81	6	44	15	4	5	2	6	0	3	0	0	8	4	2	2	0	0	2
iL2183	127440	8	0	4	4	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0
iL2184	203016	179	0	8	1	169	0	0	4	0	1	0	0	0	0	0	0	167	0	0
iL2185dil2	159948	4	0	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
iL2186dil3	557046	11	0	9	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1
iL2187dil3	478320	81	0	5	3	66	4	0	3	0	0	0	0	3	0	0	0	64	0	0
iL2188	193357	26	1	20	4	0	0	0	1	1	2	0	0	1	0	0	0	0	0	0
iL2189	129628	4	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
iL2190	246852	9	1	3	4	0	1	0	0	1	2	0	0	1	0	0	0	0	0	0
iL2191Bdil2	729656	23	1	14	3	2	3	0	2	0	1	0	0	1	0	2	0	0	0	0
iL2192	513	2	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0
iL2193	179947	10	2	4	4	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0
iL2194	333782	16	2	11	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
L1631	378321	64	0	62	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L1633amp10dil3	430952	31	1	21	8	1	0	0	2	0	8	0	0	0	0	0	0	0	0	0
L1702	555261	5	1	2	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
L1704	63902	15	4	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L1727amp10	676691	83	22	49	4	1	6	0	1	0	0	0	1	3	0	0	6	0	0	1
L1728	840270	79	10	49	8	1	3	0	4	0	0	0	0	8	0	0	0	0	0	1
L1732	245782	245	0	240	2	1	0	0	1	0	0	0	0	2	0	0	0	0	0	1
L1734	325742	17	2	11	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
L1735	109320	35	1	29	0	0	0	5	6	0	0	0	0	0	0	0	0	0	0	0
L2128rdil2	155767	39	2	25	8	0	1	0	0	2	0	0	0	2	4	1	0	0	0	0
L2129rdil2	174961	16	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L2130rdil3	138858	12	0	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
L2131rdil2	140203	259	5	251	1	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0
L2132r	790166	22	4	9	7	0	1	0	7	2	0	0	0	5	0	0	1	0	0	0
L2133r	99642	28	1	23	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
L2134r	169612	4	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
L2135rdil4	110160	52	1	49	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L2136r	278101	113	2	16	82	2	9	0	0	12	63	0	0	2	5	0	4	0	0	2
L2137r	23337	165	1	134	27	0	0	0	1	0	0	0	0	27	0	0	0	0	0	0
L3065A2	210681	348	0	9	4	2	333	0	4	0	0	0	0	2	2	0	333	0	0	0
L3074A2dil2	424207	153	1	127	7	2	16	0	2	2	0	0	0	0	5	4	12	0	0	1
L3080A2amp10dil3	8405381	475	66	242	21	21	57	1	86	0	11	0	0	10	0	30	20	0	0	12
L3088A3dil3	25070	31	0	17	4	0	10	0	0	0	0	0	0	0	4	3	7	0	0	0
L3096A1	139637	81	1	56	1	0	23	0	16	0	0	0	0	0	1	13	9	0	0	0
L3101A2dil3	140537	228	0	226	0	0	2	0	2	0	0	0	0	0	0	1	1	0	0	0
L3103A2amp10dil3	671971	187	1	111	2	0	67	0	24	0	0	0	0	0	2	27	34	0	0	0
L3112A2	44048	102	10	70	2	1	12	0	2	2	0	0	0	0	0	4	5	0	0	0
L3113A2	165139	19	0	9	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0
L3119A2dil2	107830	22	0	3	4	0	15	0	2	0	0	0	0	4	0	7	5	0	0	0
L3122A2dil2	79859	52	7	38	1	2	4	0	29	0	0	0	0	1	0	2	2	0	0	0
L3143A2dil3	352712	104	1	33	6	1	61	0	19	5	1	0	0	0	0	37	24	0	0	0
L3148A2dil3	139647	217	7	46	1	1	162	0	21	0	0	0	0	1	0	28	134	0	0	0
L3149A2dil7	97469	82	13	35	1	1	31	0	13	0	1	0	0	0	0	21	9	0	0	0
L3152A2dil3	1988178	161	16	91	2	8	21	2	12	0	0	0	2	0	0	1	13	0	0	0
L3801A1	172105	16	0	13	0	0	3	0	8	0	0	0	0	0	0	1	2	0	0	0
L3806A1	551184	60	6	38	1	0	10	0	3	0	0	0	0	0	1	5	5	0	0	0
L3809A1	484786	57	6	17	19	0	10	0	1	9	2	0	0	0	8	4	6	0	0	0
L3813A1	137325	39	0	24	2	0	13	0	5	2	0	0	0	0	0	5	6	0	0	0
L3842A1amp10dil3	162196	477	4	152	276	3	32	0	109	7	0	0	0	268	1	18	13	0	0	0
L3844A1dil4	213386	114	9	24	21	1	48	0	11	21	0	0	0	0	0	22	25	0	0	0
L3845A1dil3	48145	107	3	19	25	0	60	0	17	23	0	0	0	0	2	13	47	0	0	0
L3846A1	358979	53	3	18	11	0	18	0	4	6	3	0	0	0	0	8	8	0	0	0
L3847A1dil2	704589	98	6	59	7	3	21	0	9	7	0	0	0	0	0	8	12	0	0	0
L3848A1dil2	993	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L3849A1dil6	233058	8	0	1	3	0	3	0	1	3	0	0	0	0	0	3	0	0	0	0
L3850A1	366591	39	6	11	4	4	14	0	7	4	0	0	0	0	0	4	10	0	0	2
L3851A1	333994	25	1	13	2	0	8	0	2	1	0	0	0	0	1	4	4	0	0	0
L3852A1	728831	136	6	45	35	0	46	0	16	29	3	0	0	3	0	22	23	0	0	0
L3853A1dil3	178584	188	4	169	3	1	10	0	5	3	0	0	0	0	0	3	6	0	0	0
L3854A1	45031	1385	5	1346	4	8	22	0	3	4	0	0	0	0	0	0	21	0	0	0
L3855A1	453589	69	6	29	7	0	27	0	8	6	0	0	0	1	0	14	6	0	0	0
L3856A1dil2	552371	47	3	22	7	1	13	0	4	4	0	0	0	3	0	7	6	0	0	0
L3857A1	495894	99	2	48	6	0	40	0	12	4	0	0	1	0	0	20	18	0	0	0
L3858A1dil2	100992	25	1	12	1	0	11	0	5	1	0	0	0	0	0	7	2	0	0	0
L3859A1	268900	874	0	16	10	834	13	1	1	7	0	0	0	3	0	4	7	833	0	0
L3861A1dil6	784160	85	7	34	35	2	2	0	6	7	10	0	0	18	0	1	1	0	0	0
L3862A1	260499	31	0	8	3	1	19	0	7	2	0	0	0	0	1	13	6	0	0	0
L3863A1dil3	193602	1230	0	19	11	1183	9	7	2	11	0	0	0	0	0	2	6	1183	0	0
L3865A1dil3	87153	34	3	18	3	0	10	0	4	2	0	0	0	0	1	4	6	0	0	0
L3866A1dil2	171142	59	4	18	9	0	19	0	8	4	5	0	0	0	0	10	8	0	0	0
L3867A1dil3	1077416	52	2	34	4	6	3	0	5	0	2	0	0	2	0	2	0	0	0	3
L3868A1dil3	706737	73	5	37	2	3	14	0	7	1	0	0	0	1	0	5	8	0	0	1
L3869A1dil2	278358	31	0	15	1	1	14	0	7	0	0	0	0	0	0	4	9	0	0	0
L3871A1dil3	674241	177	2	16	4	151	3	0	3	0	0	0	0	4	0	0	3	149	0	0
L3872A1dil2	253911	199	1	30	0	160	8	0	2	0	0	0	0	0	0	5	3	160	0	0
